Is_3D_Phase,Iteration,Envelope_Compliance_Nm,Max_Delta_Rho,Compute_Time_sec
0,1,0.015313435280932855,0.675,3.848386764526367
0,2,0.013809694692066674,0.19610000000000005,2.4681191444396973
0,3,0.013461428404440413,0.19220000000000004,2.454348564147949
0,4,0.01344253321412422,0.18830000000000002,2.5651631355285645
0,5,0.013598848099760584,0.1844,2.9530129432678223
0,6,0.013836632138348081,0.1805,2.6691527366638184
0,7,0.014043375808783438,0.16987349018037678,2.7204654216766357
0,8,0.014293000104374027,0.17270000000000008,2.630622386932373
0,9,0.014508491516153393,0.14291421098482027,2.649264335632324
0,10,0.014759638728598437,0.16490000000000005,2.7612464427948
0,11,0.014981565192283608,0.11711527507642472,2.894376516342163
0,12,0.015240438932051239,0.15710000000000002,2.7411887645721436
0,13,0.015465147015655021,0.12021354512169724,2.846813678741455
0,14,0.01572641153318783,0.14042455077039107,2.958042621612549
0,15,0.015954588258957788,0.14539999999999997,2.8721635341644287
0,16,0.016207390016552338,0.14150000000000007,2.894247055053711
0,17,0.016440896545610886,0.13759999999999994,2.990917682647705
0,18,0.023547030835881347,0.2005295639148057,3.312129259109497
0,19,0.022895537756627688,0.12980000000000008,3.7070648670196533
0,20,0.023042997353771,0.12757612918368655,3.6366260051727295
0,21,0.022923325686857683,0.12200000000000005,3.647399425506592
0,22,0.02280633768551789,0.11810000000000004,4.000228404998779
0,23,0.02258941459041143,0.11420000000000002,4.068322420120239
0,24,0.022405280853327943,0.11030000000000006,4.180299520492554
0,25,0.02221862925579357,0.10640000000000005,4.2981791496276855
0,26,0.02199506484067969,0.10250000000000004,4.655733346939087
0,27,0.021633529326780383,0.09860000000000002,4.440333604812622
0,28,0.021141877527947855,0.09470000000000006,4.602010250091553
0,29,0.020858859942289424,0.09080000000000005,4.571427345275879
0,30,0.02075469911637484,0.08690000000000003,4.6340978145599365
0,31,0.020717539810245027,0.08300000000000007,4.453723669052124
0,32,0.02071812829884851,0.07910000000000006,4.6084723472595215
0,33,0.020738658235241878,0.07520000000000004,4.366399049758911
0,34,0.020778477244752028,0.07130000000000003,4.3669633865356445
0,35,0.02469189590176602,0.06740000000000002,4.86812162399292
0,36,0.024309391129402932,0.06350000000000006,5.0561323165893555
0,37,0.02398044976397122,0.05960000000000004,5.336010456085205
0,38,0.023903487760730445,0.05570000000000003,5.562516212463379
0,39,0.02383975348114499,0.05180000000000007,5.118173599243164
0,40,0.02384596698318253,0.047900000000000054,5.062963962554932
0,41,0.023865032003029796,0.04400000000000004,4.931265592575073
0,42,0.02390479601111708,0.04010000000000008,4.922155141830444
0,43,0.023955656773846964,0.036200000000000065,5.050177574157715
0,44,0.02401463962072046,0.03230000000000005,5.409234285354614
0,45,0.024080477601562785,0.028400000000000036,5.146369218826294
0,46,0.024153985899269433,0.024500000000000022,4.9937584400177
0,47,0.024235280564674923,0.020600000000000063,5.384045839309692
0,48,0.02432583595395068,0.016700000000000048,5.313763380050659
0,49,0.02442617559307908,0.012800000000000034,5.573825359344482
0,50,0.02453608643417377,0.008900000000000047,5.564043760299683
0,1,0.01531343558965924,0.675,3.5013582706451416
0,2,0.01371828008406665,0.19610000000000005,2.4187912940979004
0,3,0.013357743774987586,0.17906217278394299,2.5116474628448486
0,4,0.0133530309695685,0.16294418131970012,2.6583263874053955
0,5,0.013535008713647028,0.11425420924999252,2.581468105316162
0,6,0.013758266025643286,0.10512519143324983,2.6528189182281494
0,7,0.013986477355342308,0.08335860345072499,2.6830945014953613
0,8,0.014222503685103877,0.08291899585830087,2.747882127761841
0,9,0.014456216251155172,0.11028161532561587,2.785357713699341
0,10,0.014691981838683161,0.14522640653156105,2.84226655960083
0,11,0.014928810025308844,0.1272433422078968,2.514357566833496
0,12,0.015168717010297896,0.11096662407582514,2.6577858924865723
0,13,0.015410272336233143,0.13453088829045112,2.616835832595825
0,14,0.01565286968477981,0.1493,2.645221471786499
0,15,0.015895217086346385,0.14539999999999997,2.685807943344116
0,16,0.01613684025322898,0.14149999999999996,2.7449026107788086
0,17,0.01637725014469004,0.13759999999999994,2.5830113887786865
0,18,0.02334277308706996,0.1856620133959591,3.129744291305542
0,19,0.02283050759469539,0.12980000000000003,3.4117000102996826
0,20,0.02295985031774151,0.1259,3.4752907752990723
0,21,0.02292815657152163,0.12200000000000005,3.5370917320251465
0,22,0.022841580031114063,0.11810000000000004,3.581202745437622
0,23,0.022638717414233685,0.11420000000000002,3.7537474632263184
0,24,0.022424077544372138,0.11030000000000006,4.007120370864868
0,25,0.022236457981983426,0.10640000000000005,3.7357053756713867
0,26,0.02205690668387284,0.10250000000000004,4.31935977935791
0,27,0.021839554270735147,0.09860000000000002,4.4999799728393555
0,28,0.0215010629833068,0.09470000000000006,4.488897800445557
0,29,0.021038573804610758,0.09080000000000005,4.641507148742676
0,30,0.02076870457916612,0.08690000000000003,4.795181035995483
0,31,0.02067030124335283,0.08300000000000007,5.065291166305542
0,32,0.020635580933261614,0.07910000000000006,4.766727685928345
0,33,0.02063494522203939,0.07520000000000004,4.850128650665283
0,34,0.020651957110661368,0.07130000000000003,4.588231563568115
0,35,0.024346134234725085,0.06740000000000002,5.1558778285980225
0,36,0.023876409921254442,0.06350000000000006,5.188790321350098
0,37,0.023615098113904984,0.05960000000000004,5.428356647491455
0,38,0.023504104349330954,0.05570000000000003,5.105429172515869
0,39,0.023445119951813025,0.05180000000000007,4.9327232837677
0,40,0.023425341246297537,0.047900000000000054,5.260507822036743
0,41,0.023429609953975996,0.04400000000000004,5.4029364585876465
0,42,0.023450294761630568,0.04010000000000008,5.364337682723999
0,43,0.023479788562093824,0.036200000000000065,5.572096586227417
0,44,0.023519942615042866,0.03230000000000005,5.090774059295654
0,45,0.02356806389345668,0.028400000000000036,5.3365325927734375
0,46,0.023623831358483345,0.024500000000000022,5.3177783489227295
0,47,0.023687511886801356,0.020600000000000063,5.323984384536743
0,48,0.023759961226408548,0.016700000000000048,5.443984508514404
0,49,0.023841259547141093,0.012800000000000034,5.665194034576416
0,50,0.02393166117783021,0.008900000000000047,6.038238048553467
0,1,0.015542932632585122,0.6821499437228695,3.635068655014038
0,2,0.013912174619067876,0.19610000000000005,2.843062400817871
