Is_3D_Phase,Iteration,Envelope_Compliance_Nm,Max_Delta_Rho,Compute_Time_sec,Peak_VRAM_GB
0,1,0.607942749695094,0.20000000000000007,0.6496720314025879,1.952463150024414
0,2,0.610684513662369,0.19850000000000007,0.15921735763549805,1.9587960243225098
0,3,0.6076699308391724,0.197,0.11749076843261719,1.9587960243225098
0,4,0.6117347405521084,0.19550000000000006,0.10673880577087402,1.9587960243225098
0,5,0.6132882197293249,0.17936839031686108,0.09355878829956055,1.9587960243225098
0,6,0.6175285684721616,0.1925,0.1027979850769043,1.9587960243225098
0,7,0.6210257523861422,0.1593048091274018,0.1036067008972168,1.9587960243225098
0,8,0.6248767568373037,0.1593048091274018,0.09385824203491211,1.9587960243225098
0,9,0.6286574510779788,0.16028291553681162,0.10370016098022461,1.9587960243225098
0,10,0.6327365524074522,0.16028291553681162,0.0981755256652832,1.9587960243225098
0,11,0.6363782111036067,0.1576280271589753,0.10301756858825684,1.9587960243225098
0,12,0.6397931192320725,0.1576280271589753,0.092376708984375,1.9587960243225098
0,13,0.6445048231314541,0.17340714577529845,0.1147611141204834,1.9587960243225098
0,14,0.649418278364451,0.17340714577529845,0.11048197746276855,1.9587960243225098
0,15,0.6523884661429289,0.17330766992829233,0.07714009284973145,1.9587960243225098
0,16,0.654454694015044,0.17330766992829233,0.07330894470214844,1.9587960243225098
0,17,0.6620692308768645,0.17600000000000002,0.13790321350097656,1.9587960243225098
0,18,0.663845293113031,0.12678942346815014,0.06180071830749512,1.9587960243225098
0,19,0.6696633655607552,0.11688276635604804,0.11808156967163086,1.9587960243225098
0,20,0.6733529327175223,0.048918495854309296,0.08349728584289551,1.9587960243225098
0,21,0.6759148031241782,0.044406578633277016,0.07023310661315918,1.9587960243225098
0,22,0.6810689361951034,0.07462258471927902,0.10374021530151367,1.9587960243225098
0,23,0.686975174689946,0.037691847978428394,0.10599279403686523,1.9587960243225098
0,24,0.6897951360707608,0.03215829339672005,0.07637882232666016,1.9587960243225098
0,25,0.6950827520156491,0.07153541766309329,0.10059046745300293,1.9587960243225098
0,26,0.6969520883948588,0.030172342036025035,0.06786036491394043,1.9587960243225098
0,27,0.7061522834553055,0.13333349584269724,0.15875601768493652,1.9587960243225098
0,28,0.7081961556749032,0.1259059759345478,0.0661163330078125,1.9587960243225098
0,29,0.7118600411473763,0.07775693569840554,0.08404779434204102,1.9587960243225098
0,30,0.7185199474559322,0.1395556910132979,0.11528968811035156,1.9587960243225098
0,31,0.7197128733985665,0.1373864691952997,0.06778192520141602,1.9587960243225098
0,32,0.7290629399745988,0.15350000000000003,0.15914535522460938,1.9587960243225098
0,33,0.7307145788417713,0.04922887619205868,0.057942867279052734,1.9587960243225098
0,34,0.7351849304347673,0.043836535868353954,0.08661627769470215,1.9587960243225098
0,35,0.7391708818437155,0.05495151723662958,0.07538771629333496,1.9587960243225098
0,36,0.7450428275738666,0.08962027927793376,0.10740017890930176,1.9587960243225098
0,37,0.7510244657601761,0.047771720125039496,0.11103987693786621,1.9587960243225098
0,38,0.7544693537907009,0.048152158620934915,0.07852339744567871,1.9587960243225098
0,39,0.757696931106149,0.04494485654723768,0.07277059555053711,1.9587960243225098
0,40,0.766676773563954,0.07825159819603522,0.15748262405395508,1.9587960243225098
0,41,0.8027819043268043,0.14000000000000007,0.2724440097808838,1.9587960243225098
0,42,0.8045628734447665,0.13850000000000007,0.10755395889282227,1.9587960243225098
0,43,0.8084740040130853,0.137,0.10912299156188965,1.9587960243225098
0,44,0.814494382672265,0.07235540855741235,0.15192961692810059,1.9587960243225098
0,45,0.8188555667175099,0.07523976800068244,0.13225722312927246,1.9587960243225098
